egoid,StartDate_5,EndDate_5,hourspay_5,nightshift_5,studentathlete_5,sportteam1rc_5,sportteam2rc_5,sportteam3rc_5,club1rc_5,club2rc_5,club3rc_5,club4rc_5,club5rc_5,club6rc_5,club7rc_5,club8rc_5,club9rc_5,club10rc_5,major1rc_5,major2rc_5,minor1rc_5,minor2rc_5,degreeintent_5,summer2016courses_5,studyAbroadEver_5,studyAbroad_1_5,studyAbroad_2_5,studyAbroad_3_5,studyAbroad_4_5,studyAbroad_5_5,studyAbroadFuture_5,studyAbroadF_1_5,studyAbroadF_2_5,studyAbroadF_3_5,studyAbroadF_4_5,studyAbroadF_5_5,studyAbroadF_6_5,studyAbroadF_7_5,studyAbroadF_Other_5,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,exercisealone_5,exerciseothers_5,clubsports_5,swimming_5,socotherrace_5,discussrelig_5,discusspol_5,discusshealth_5,commcause_5,volunteer_5,attendrelig_5,tv_5,computer_5,internet_5,homework_5,music_5,phone_5,visiting_5,reading_5,inactive_hobby_5,sit_work_5,sit_car_5,sedentarytime_scale_5,physicalactivity1_5,physicalactivity2_5,physicalactivity3_5,physicalactivity4_5,physicalactivity5_5,sexorientation_5,sexcontacttype_5,sexattracttype_5,musicfav1rc_5,musicfav2rc_5,musicfav3rc_5,musicfav4rc_5,musicfav5rc_5,musicleastfav1rc_5,musicleastfav2rc_5,musicleastfav3rc_5,musicleastfav4rc_5,musicleastfav5rc_5,cultactivity1rc_5,cultactivity2rc_5,cultactivity3rc_5,cultactivity4rc_5,cultactivity5rc_5,majorevent_5,mjeset1_5,mjesubset1_5,mjeset2_5,mjesubset2_5,mjeset3_5,mjesubset3_5,Stress_1_5,Stress_2_5,Stress_3_5,Stress_4_5,Stress_5_5,Stress_6_5,Stress_7_5,Stress_8_5,Stress_9_5,Stress_10_5,Stress_5,Trust_1_5,Trust_2_5,Trust_3_5,Trust_4_5,Trust_5_5,Trust_6_5,Trust_5,lonely_1_5,lonely_2_5,lonely_3_5,lonely_4_5,lonely_5_5,lonely_6_5,lonely_7_5,lonely_8_5,lonely_9_5,lonely_10_5,lonely_11_5,lonely_12_5,lonely_13_5,lonely_14_5,lonely_15_5,selsa_rom_5,selsa_fam_5,selsa_soc_5,SelfEff_exercise_1_5,SelfEff_exercise_2_5,SelfEff_exercise_3_5,SelfEff_exercise_4_5,SelfEff_exercise_5_5,SelfEff_exercise_6_5,SelfEff_exercise_7_5,SelfEff_exercise_8_5,SelfEff_exercise_9_5,SelfEff_exercise_10_5,SelfEff_exercise_11_5,SelfEff_exercise_12_5,SelfEff_exercise_13_5,SelfEff_exercise_14_5,SelfEff_exercise_15_5,SelfEff_exercise_16_5,SelfEff_exercise_17_5,SelfEff_exercise_18_5,SelfEff_exercise_scale_5,Happy_5,Health_5,HealthSatisfaction1_5,HealthSatisfaction2_5,HealthSatisfaction3_5,HealthSatisfaction4_5,HealthSatisfaction5_5,HealthSatisfaction6_5,HealthSatisfaction7_5,HealthSatisfaction8_5,HealthSatisfaction9_5,HealthSatisfactionScale_5,Weight_5,Height_5,Dieting_5,vegetarian_5,vegan_5,glutenfree_5,otherdiet_5,activity_semester_5,activity_should_5,activity_friend_5,activity_hope_5,activity_friend_should_5,activity_want_5,sleep_semester_5,sleep_should_5,sleep_hope_5,sleep_up2me_5,newdisability_5,disability1rca_5,disability1rcb_5,disability2rca_5,disability2rcb_5,disability3rca_5,disability3rcb_5,UndiagAll_5,undiagall1rca_5,undiagall1rcb_5,undiagall2rca_5,undiagall2rcb_5,undiagall3rca_5,undiagall3rcb_5,Medication_5,RecreationalDrugs_5,recreationaldrugs1rc_5,recreationaldrugs2rc_5,recreationaldrugs3rc_5,PrescriptionDrugAbuse_5,prescriptiondrugabuse1rc_5,prescriptiondrugabuse2rc_5,prescriptiondrugabuse3rc_5,BAI1_5,BAI2_5,BAI3_5,BAI4_5,BAI5_5,BAI6_5,BAI7_5,BAI8_5,BAI9_5,BAI10_5,BAI11_5,BAI12_5,BAI13_5,BAI14_5,BAI15_5,BAI16_5,BAI17_5,BAI18_5,BAI19_5,BAI20_5,BAI21_5,BAIsum_5,BAIgroup_5,BDI1_1_5,BDI1_2_5,BDI1_3_5,BDI1_4_5,BDI1_5_5,BDI2_1_5,BDI2_2_5,BDI2_3_5,BDI2_4_5,BDI2_5_5,BDI3_1_5,BDI3_2_5,BDI3_3_5,BDI3_4_5,BDI3_5_5,BDI4_1_5,BDI4_2_5,BDI4_3_5,BDI4_4_5,BDI4_5_5,BDI5_1_5,BDI5_2_5,BDI5_3_5,BDI5_4_5,BDI5_5_5,BDI6_1_5,BDI6_2_5,BDI6_3_5,BDI6_4_5,BDI6_5_5,BDI7_1_5,BDI7_2_5,BDI7_3_5,BDI7_4_5,BDI7_5_5,BDI8_1_5,BDI8_2_5,BDI8_3_5,BDI8_4_5,BDI10_1_5,BDI10_2_5,BDI10_3_5,BDI10_4_5,BDI11_1_5,BDI11_2_5,BDI11_3_5,BDI11_4_5,BDI12_1_5,BDI12_2_5,BDI12_3_5,BDI12_4_5,BDI13_1_5,BDI13_2_5,BDI13_3_5,BDI13_4_5,BDI14_1_5,BDI14_2_5,BDI14_3_5,BDI14_4_5,BDI15_1_5,BDI15_2_5,BDI15_3_5,BDI15_4_5,BDI15_5_5,BDI16_1_5,BDI16_2_5,BDI16_3_5,BDI16_4_5,BDI17_1_5,BDI17_2_5,BDI17_3_5,BDI17_4_5,BDI18_1_5,BDI18_2_5,BDI18_3_5,BDI18_4_5,BDI19_1_5,BDI19_2_5,BDI19_3_5,BDI19_4_5,BDIWeightloss_5,BDI20_1_5,BDI20_2_5,BDI20_3_5,BDI20_4_5,BDI21_1_5,BDI21_2_5,BDI21_3_5,BDI21_4_5,PSQI1_5,BDIsum_5,BDIgroup_5,PSQI1AMPM_5,PSQI2_5,PSQI3_5,PSQI3AMPM_5,PSQI4_5,nap_5,nap_length_5,PSQI5_5,PSQI6_5,PSQI7_5,PSQI8_5,PSQI9_5,PSQI10_5,PSQI11_5,PSQI12_5,PSQI13_5,PSQIroommate_5,PSQI14_5,PSQI16_5,PSQI17_5,PSQI18_5,PSQI19_5,PSQI20_5,PSQI_duration_5,PSQIGlobal_5,PSQIGroup_5,AdditionalHealthIssue_5,additionalhealthissuerca_5,additionalhealthissuercb_5,polorientation_5,polparty_1_5,polparty_2_5,polHealthcare_5,polAbortion_5,polNDsanctuary_5,polPartImm1_5,polPartImm2_5,polClimate_5,polClimateCause1_5,polClimateCause2_5,polClimateGov_5,chargeAsleep_5,chargeNightWall_5,chargeNightUSB_5,chargeNightOther_5,useBed_5,useBedCharge_5,chargeDayWall_5,chargeDayUSB_5,chargeDayOther_5,chargeAirplane_5,chargeDorm_5,chargeLib_5,chargeStudentCenter_5,chargeDining_5,chargeClass_5,chargeLab_5,chargeWork_5,chargeTime1_5,chargeTime2_5,chargeTime3_5,chargeTime4_5,chargeTime5_5,chargeTime6_5,chargeTime7_5,phoneGetMonth_5,phoneGetYear_5,PhoneType_5,phoneModel_5
76485,13apr2017 11:12:38,13apr2017 11:39:47,5-10,no,no,,,,12100.0,45900.0,45200.0,,,,,,,,128.0,129.0,,,"M.D., D.O., D.D.S., or D.V.M.",no,no,,,,,,Yes,,yes,,,,,,,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a week,1-2 times a week,31 minutes an hour,16-30 minutes,16-30 minutes,2-3 hours,Do not do,16-30 minutes,2-3 hours,Do not do,16-30 minutes,2-3 hours,Do not do,1.1818181,,14900.0,11300.0,,11300.0,Heterosexual or straight,Women only,Only attracted to females,Rap/Hip-Hop,Contemporary rock,Indie/Alternative,,,Country,,,,,,,,,,no,,,,,,,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Sometimes,Fairly Often,Very Often,Sometimes,2.3,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,3.5,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,-1.3290714,-0.44143444,-0.24205126,80.0,41.0,81.0,26.0,81.0,83.0,30.0,30.0,69.0,84.0,51.0,30.0,48.0,78.0,100.0,61.0,59.0,100.0,62.888889,Pretty Happy,Good,Somewhat satisfied,Satisfied,Somewhat satisfied,Neutral,Satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,5.3333335,188.0,6.0,no,,,,,5.0,8.0,7.0,8.0,8.0,Definintely True,6.0,8.0,8.0,Strongly Disagree,no,,,,,,,no,,,,,,,No,No,,,,No,,,,Not at all,Not at all,Not at all,Moderately bothered me at times,Severely - it bothered me,Not at all,"Mildly, but it didn't bother me much",Not at all,Not at all,Moderately bothered me at times,Not at all,Not at all,Not at all,Moderately bothered me at times,Not at all,Not at all,"Mildly, but it didn't bother me much",Not at all,Not at all,Not at all,Not at all,11.0,low,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,Almost never,yes,no,no,no,yes,no,no,no,12:30,3.0,minimal,am,30.0,8:45,am,7.0,Once per week,45.0,Once or twice a week,Less than once a week,Less than once a week,Once or twice a week,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,All of the time (5-7 days),No,Not during the past month,Fairly bad,Not during the past month,Not during the past month,Less than once a week,8.25,7.0,Disturbed Sleep,no,,,Slightly liberal,Democrat,,4,Not Sure,Disagree,No,No,Has probably been happening,Mostly by human activity,,Should be doing a great deal more,I usually do not charge my phone when I am in bed.,,,,Always,Never,Wall adapter,,,Occasionally,Frequently,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Often,Often,Often,Rarely,October,2016.0,iPhone,iPhone 7
33239,11apr2017 20:59:01,11apr2017 21:53:08,None,,no,,,,43400.0,17900.0,43400.0,,,,,,,,510.0,,134.0,,"M.D., D.O., D.D.S., or D.V.M.",no,no,,,,,,Yes,,yes,,,,,,,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,1-2 times a month,Less than 1-2 times a month,31 minutes an hour,31 minutes an hour,2-3 hours,2-3 hours,1-2 hours,16-30 minutes,31 minutes an hour,Do not do,15 minutes or less,3-4 hours,15 minutes or less,1.6363636,,13200.0,13200.0,,13200.0,Heterosexual or straight,Women only,Only attracted to females,Electronic/Dance/Club,Indie/Alternative,Top 40/Pop,,,Heavy Metal,Contemporary rock,,,,26300.0,,,,,yes,positive,new-relationship,,,,,Sometimes,Almost Never,Sometimes,Fairly Often,Fairly Often,Almost Never,Sometimes,Sometimes,Sometimes,Almost Never,1.5,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,Agree,Agree,3.6666667,Strongly Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,-1.485238,1.0321308,0.20179728,69.0,51.0,84.0,52.0,67.0,66.0,78.0,59.0,40.0,41.0,35.0,35.0,80.0,80.0,62.0,32.0,32.0,50.0,56.277779,Very happy,Excellent,Satisfied,Somewhat satisfied,Neutral,Satisfied,Somewhat satisfied,Satisfied,Somewhat satisfied,Satisfied,Very satisfied,5.5555553,153.0,5.8333335,no,,,,,7.0,7.0,6.0,7.0,7.0,,8.0,9.0,8.0,Somewhat Agree,no,,,,,,,no,,,,,,,Yes,Yes,Marijuana,Hallucinogens,,No,,,,Not at all,"Mildly, but it didn't bother me much",Not at all,Not at all,Not at all,"Mildly, but it didn't bother me much",Not at all,Not at all,Not at all,"Mildly, but it didn't bother me much",Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,"Mildly, but it didn't bother me much",Not at all,Not at all,4.0,low,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,Sometimes,yes,no,no,no,yes,no,no,no,1:30,4.0,minimal,am,15.0,9:00,am,8.0,Never,,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Rarely or none of the time (less than 1 day),No,Not during the past month,Fairly good,Not during the past month,Not during the past month,Not during the past month,7.5,3.0,Good Sleep,no,,,Liberal,Democrat,,3,always be able to obtain an abortion,Agree,No,No,Has probably been happening,Mostly by human activity,,Should be doing  more,I plug it in when I go to bed and unplug it when I wake up.,Wall adapter,,,Never,,Wall adapter,,,Never,Very Frequently,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Often,November,2016.0,iPhone,iPhone 7
72570,23apr2017 10:13:57,23apr2017 12:00:53,0-4,no,no,,,,46300.0,45200.0,,,,,,,,,304.0,,,,"Master's Degree (M.A., M.S., MBA, etc.)",no,no,,,,,,Yes,,,yes,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Not at all,Not at all,16-30 minutes,Do not do,more than 4 hours,more than 4 hours,more than 4 hours,more than 4 hours,more than 4 hours,Do not do,Do not do,more than 4 hours,Do not do,2.090909,,,29100.0,,14300.0,Bisexual,I have not had sexual contact,Mostly attracted to females,Rap/Hip-Hop,Top 40/Pop,Contemporary rock,Electronic/Dance/Club,,Country,,,,,26300.0,,,,,yes,,,,,,,Fairly Often,Fairly Often,Very Often,Sometimes,Sometimes,Fairly Often,Almost Never,Almost Never,Almost Never,Almost Never,2.5,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Neither Agree nor Disagree,1.8333334,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,0.92247057,0.19556631,-0.21401715,21.0,2.0,48.0,84.0,2.0,2.0,11.0,80.0,1.0,57.0,3.0,2.0,56.0,54.0,2.0,2.0,1.0,1.0,23.833334,Not happy at all,Fair,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Very dissatisfied,1.6666666,150.0,5.75,no,,,,,,3.0,,9.0,3.0,,4.0,4.0,7.0,Disagree,no,,,,,,,yes,,,,,,,No,No,,,,No,,,,Not at all,"Mildly, but it didn't bother me much",Not at all,Moderately bothered me at times,Moderately bothered me at times,Not at all,Not at all,Not at all,"Mildly, but it didn't bother me much","Mildly, but it didn't bother me much",Not at all,"Mildly, but it didn't bother me much",Not at all,Severely - it bothered me,Not at all,Not at all,Moderately bothered me at times,Not at all,Not at all,Not at all,Not at all,13.0,low,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,Sometimes,no,yes,no,no,yes,no,no,no,3:00,21.0,moderate,am,10.0,9:00,am,4.0,Once per week,60.0,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Less than once a week,Less than once a week,Rarely or none of the time (less than 1 day),No,Not during the past month,Very bad,Not during the past month,Not during the past month,Three or more times a week,6.0,9.0,Disturbed Sleep,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67574,13apr2017 14:32:39,13apr2017 14:48:01,0-4,no,no,,,,43100.0,12100.0,,,,,,,,,302.0,,316.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,,,,,,Yes,yes,,,,,,,,Not at all,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Less than 1-2 times a month,1-2 times a week,15 minutes or less,16-30 minutes,31 minutes an hour,3-4 hours,15 minutes or less,31 minutes an hour,15 minutes or less,Do not do,15 minutes or less,2-3 hours,Do not do,0.72727275,,14300.0,16900.0,,16100.0,Heterosexual or straight,Women only,Only attracted to females,Country,Top 40/Pop,,,,Heavy Metal,,,,,26300.0,26300.0,,,,no,,,,,,,Never,Never,Never,Very Often,Sometimes,Never,Never,Fairly Often,Fairly Often,Fairly Often,1.3,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,2.3333333,Agree,Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,-0.73399854,-0.88964033,0.75458515,99.0,32.0,100.0,100.0,100.0,100.0,97.0,94.0,98.0,99.0,14.0,100.0,100.0,100.0,100.0,27.0,0.0,100.0,81.111115,Very happy,Good,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Somewhat satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,2.7777777,175.0,5.8333335,no,,,,,3.0,9.0,10.0,9.0,8.0,,6.0,10.0,6.0,Disagree,no,,,,,,,no,,,,,,,No,Yes,Marijuana,Cocaine,,No,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.0,low,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,Sometimes,no,no,no,no,yes,no,no,no,1:30,5.0,minimal,am,5.0,8:30,am,6.0,2-3 times per week,19.0,Not during the past month,Once or twice a week,Once or twice a week,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Occasionally or a moderate amount of time (3-4 days),No,Not during the past month,Fairly good,Not during the past month,Less than once a week,Less than once a week,7.0,6.0,Disturbed Sleep,no,,,Conservative,Republican,,5,"only in case of rape, incest, or when the woman's life is in danger",Disagree,No,No,Has probably been happening,Mostly by human activity,,Should be doing  more,I plug it in when I go to bed and unplug it when I wake up.,Wall adapter,,,Always,Always,Wall adapter,,,Occasionally,Very Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,Rarely,Occasionally,Occasionally,Often,Often,November,2016.0,iPhone,7 Plus
42231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16900.0,16100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16900.0,,16100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16900.0,13200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
