egoid,sexorientation_4,sexcontacttype_4,sexattracttype_4
22066,,,
28247,Heterosexual or straight,I have not had sex,only attracted to males
72873,,,
67544,,,
76810,,,
51760,Bisexual,Women only,only attracted to females
72806,Heterosexual or straight,Men only,mostly attracted to males
98766,Heterosexual or straight,Women only,only attracted to females
60997,Heterosexual or straight,I have not had sex,only attracted to females
36038,Heterosexual or straight,Women only,only attracted to females
39146,Heterosexual or straight,Men only,mostly attracted to males
60963,Heterosexual or straight,Women only,only attracted to females
67918,Heterosexual or straight,I have not had sex,only attracted to females
34467,Heterosexual or straight,I have not had sex,only attracted to males
42132,,,
32668,Heterosexual or straight,Women only,only attracted to females
24079,,,
59673,Heterosexual or straight,I have not had sex,only attracted to males
74899,Heterosexual or straight,Women only,only attracted to females
48891,,,
81807,,,
77187,,,
91176,,,
35011,Heterosexual or straight,I have not had sex,only attracted to males
60903,,,
35416,Heterosexual or straight,I have not had sex,only attracted to females
89710,Heterosexual or straight,Men only,only attracted to males
97596,Heterosexual or straight,Men only,only attracted to males
39129,,,
57359,Heterosexual or straight,Men only,mostly attracted to males
17308,Heterosexual or straight,Men only,only attracted to males
51851,Heterosexual or straight,Women only,mostly attracted to females
35855,,,
67334,,,
60230,,,
77838,Heterosexual or straight,Men only,only attracted to males
57292,,,
66406,,,
56798,Bisexual,Women only,mostly attracted to females
23115,,,
77872,Heterosexual or straight,Women only,only attracted to females
43114,Heterosexual or straight,Men only,only attracted to males
72348,Heterosexual or straight,I have not had sex,only attracted to males
45776,,,
63122,,,
27169,,,
89607,Heterosexual or straight,Women only,only attracted to females
59900,Heterosexual or straight,Men only,only attracted to males
28254,Heterosexual or straight,Men only,only attracted to males
56480,Heterosexual or straight,Women only,only attracted to females
11128,,,
47886,,,
28820,Heterosexual or straight,Women only,only attracted to females
35347,Heterosexual or straight,Men only,only attracted to males
45641,Bisexual,Women only,equally attracted to females and males
64572,Heterosexual or straight,I have not had sex,only attracted to females
31538,Heterosexual or straight,Men only,mostly attracted to males
73452,Heterosexual or straight,Women only,only attracted to females
51475,Heterosexual or straight,I have not had sex,only attracted to males
28312,Heterosexual or straight,Women only,only attracted to females
13486,Heterosexual or straight,Women only,only attracted to females
56805,Heterosexual or straight,Women only,only attracted to females
57697,,,
54837,,,
29718,Heterosexual or straight,Men only,only attracted to males
26800,Heterosexual or straight,Women only,only attracted to females
60493,Heterosexual or straight,I have not had sex,only attracted to females
52051,,,
30972,,,
47142,Heterosexual or straight,I have not had sex,only attracted to males
69217,Other,I have not had sex,only attracted to males
69009,,,
84390,,,
74845,Heterosexual or straight,Women only,only attracted to females
90905,,,
39659,,,
60396,Heterosexual or straight,Women only,only attracted to females
61084,Heterosexual or straight,Men only,only attracted to males
92412,Heterosexual or straight,I have not had sex,only attracted to females
92038,Heterosexual or straight,Women only,only attracted to females
33388,Heterosexual or straight,Women only,only attracted to females
31717,,,
86440,Heterosexual or straight,I have not had sex,only attracted to females
95585,,,
29792,Heterosexual or straight,Women only,only attracted to females
14737,Heterosexual or straight,I have not had sex,only attracted to females
28223,Heterosexual or straight,I have not had sex,only attracted to females
55452,,,
20179,,,
23696,,,
28653,Heterosexual or straight,Women only,only attracted to females
84715,,,
95559,Heterosexual or straight,Women only,only attracted to females
30152,Heterosexual or straight,Men only,mostly attracted to males
68764,,,
60367,,,
36939,Heterosexual or straight,I have not had sex,only attracted to females
59592,Heterosexual or straight,Men only,only attracted to males
22897,Heterosexual or straight,Women only,only attracted to females
89652,Heterosexual or straight,I have not had sex,only attracted to males
28724,Heterosexual or straight,Men only,only attracted to males
92895,,,
69831,Heterosexual or straight,I have not had sex,mostly attracted to females
59178,,,
50072,Heterosexual or straight,I have not had sex,only attracted to males
44927,Heterosexual or straight,I have not had sex,only attracted to males
71894,Heterosexual or straight,I have not had sex,only attracted to males
76790,Heterosexual or straight,Men only,only attracted to males
66676,Heterosexual or straight,I have not had sex,only attracted to males
95930,Heterosexual or straight,I have not had sex,only attracted to males
70962,Heterosexual or straight,Men only,mostly attracted to males
12738,,,
27111,,,
30453,Heterosexual or straight,Men only,mostly attracted to males
80177,,,
18677,Heterosexual or straight,Men only,only attracted to males
66047,Bisexual,Both men and women,equally attracted to females and males
58682,Heterosexual or straight,I have not had sex,only attracted to males
79834,Heterosexual or straight,I have not had sex,only attracted to males
93471,,,
19538,,,
38052,Heterosexual or straight,Women only,only attracted to females
33133,Heterosexual or straight,Men only,only attracted to males
40021,Heterosexual or straight,Men only,only attracted to males
27141,,,
93858,,,
47810,Heterosexual or straight,Men only,only attracted to males
58196,Heterosexual or straight,Men only,only attracted to males
42773,,,
76663,Heterosexual or straight,I have not had sex,only attracted to males
48224,,,
30137,Heterosexual or straight,Men only,only attracted to males
68318,Heterosexual or straight,I have not had sex,only attracted to males
62246,Heterosexual or straight,Women only,only attracted to females
61028,Heterosexual or straight,Men only,only attracted to males
55424,Heterosexual or straight,Men only,only attracted to males
17581,,,
23576,Heterosexual or straight,I have not had sex,only attracted to females
17522,Heterosexual or straight,I have not had sex,only attracted to males
97833,,,
93485,Heterosexual or straight,Women only,only attracted to females
62617,Heterosexual or straight,Men only,only attracted to males
42137,Heterosexual or straight,I have not had sex,only attracted to males
37305,Heterosexual or straight,Men only,mostly attracted to males
48013,Gay or lesbian,Both men and women,mostly attracted to females
44447,,,
14571,Heterosexual or straight,I have not had sex,only attracted to females
69057,Heterosexual or straight,I have not had sex,only attracted to females
66629,,,
83542,Heterosexual or straight,Men only,only attracted to males
18222,Heterosexual or straight,I have not had sex,only attracted to females
39738,Heterosexual or straight,Men only,only attracted to males
26858,Heterosexual or straight,Men only,only attracted to males
93504,Heterosexual or straight,I have not had sex,only attracted to males
64232,Heterosexual or straight,Men only,only attracted to males
37404,Heterosexual or straight,Men only,only attracted to males
25961,Heterosexual or straight,Men only,only attracted to males
87330,Heterosexual or straight,Men only,only attracted to males
92028,,,
82248,Heterosexual or straight,Men only,only attracted to males
28824,,,
11482,Heterosexual or straight,Both men and women,mostly attracted to males
69936,,,
37001,,,
70492,Heterosexual or straight,I have not had sex,mostly attracted to females
95543,Heterosexual or straight,I have not had sex,only attracted to females
21380,Heterosexual or straight,Women only,only attracted to females
67106,Heterosexual or straight,I have not had sex,only attracted to females
25495,Heterosexual or straight,I have not had sex,only attracted to females
26581,,,
66642,,,
83612,Heterosexual or straight,I have not had sex,only attracted to males
63954,,,
20665,,,
19122,Heterosexual or straight,Women only,only attracted to females
99978,Heterosexual or straight,Women only,only attracted to females
92566,Bisexual,I have not had sex,mostly attracted to males
39414,Heterosexual or straight,I have not had sex,only attracted to males
35987,Heterosexual or straight,I have not had sex,only attracted to females
66655,,,
10547,,,
46373,Heterosexual or straight,Women only,only attracted to females
79341,Heterosexual or straight,I have not had sex,only attracted to females
19591,Heterosexual or straight,Men only,mostly attracted to males
83536,Heterosexual or straight,Men only,only attracted to males
66682,,,
88337,,,
67608,Heterosexual or straight,I have not had sex,only attracted to females
19735,Heterosexual or straight,Women only,only attracted to females
42513,,,
51952,,,
46266,Heterosexual or straight,I have not had sex,only attracted to males
61289,,,
18743,,,
59207,Heterosexual or straight,Women only,only attracted to females
48946,Heterosexual or straight,Women only,only attracted to females
86083,Heterosexual or straight,Women only,only attracted to females
96613,Heterosexual or straight,Women only,only attracted to females
49014,,,
50766,Heterosexual or straight,Women only,only attracted to females
71089,Heterosexual or straight,Women only,mostly attracted to females
80980,Heterosexual or straight,I have not had sex,only attracted to females
29115,,,
98462,Heterosexual or straight,I have not had sex,only attracted to females
94455,,,
11148,,,
88384,,,
64302,Heterosexual or straight,I have not had sex,only attracted to females
22688,Heterosexual or straight,Women only,only attracted to females
38815,Heterosexual or straight,I have not had sex,only attracted to females
34525,,,
68404,Heterosexual or straight,I have not had sex,only attracted to males
71836,,,
12748,,,
33445,,,
83078,,,
72160,,,
55569,,,
72885,Bisexual,Women only,mostly attracted to females
36574,,,
71193,Heterosexual or straight,I have not had sex,only attracted to females
44070,,,
49010,,,
98760,Heterosexual or straight,I have not had sex,only attracted to females
95374,Heterosexual or straight,I have not had sex,only attracted to females
71985,Heterosexual or straight,I have not had sex,only attracted to females
43125,Heterosexual or straight,Women only,only attracted to females
98117,Heterosexual or straight,Women only,only attracted to females
22989,Heterosexual or straight,Women only,only attracted to females
24883,Heterosexual or straight,Both men and women,only attracted to females
20650,Heterosexual or straight,Women only,only attracted to females
19460,,,
66815,Heterosexual or straight,I have not had sex,only attracted to females
89161,Heterosexual or straight,Men only,only attracted to males
54956,Heterosexual or straight,I have not had sex,only attracted to males
14847,Bisexual,Men only,mostly attracted to males
85453,Heterosexual or straight,Men only,only attracted to females
19827,Heterosexual or straight,Women only,only attracted to females
31121,,,
38683,,,
82918,,,
43382,Heterosexual or straight,Women only,only attracted to females
44344,Heterosexual or straight,Women only,only attracted to females
94215,Heterosexual or straight,Women only,only attracted to females
80675,,,
57144,Heterosexual or straight,Men only,only attracted to males
94662,,,
98700,,,
33341,,,
65072,,,
37148,,,
11910,,,
75438,Heterosexual or straight,Men only,only attracted to males
99733,Heterosexual or straight,Men only,only attracted to males
27407,Heterosexual or straight,I have not had sex,only attracted to females
14250,Heterosexual or straight,Men only,only attracted to males
43794,Heterosexual or straight,Men only,only attracted to males
73918,,,
60216,Heterosexual or straight,Women only,only attracted to females
28681,,,
51437,Heterosexual or straight,Men only,only attracted to males
21932,Heterosexual or straight,I have not had sex,only attracted to females
29733,,,
98206,Heterosexual or straight,Men only,only attracted to males
36385,Heterosexual or straight,Men only,mostly attracted to males
54030,Heterosexual or straight,I have not had sex,only attracted to males
67993,Heterosexual or straight,Men only,only attracted to males
96543,Heterosexual or straight,Women only,only attracted to females
49800,Heterosexual or straight,Men only,only attracted to males
29296,,,
11002,Heterosexual or straight,Women only,only attracted to females
72850,Heterosexual or straight,Men only,mostly attracted to males
15134,Heterosexual or straight,Men only,only attracted to males
69124,,,
34062,Heterosexual or straight,Men only,only attracted to males
18111,Heterosexual or straight,Men only,only attracted to males
42646,Heterosexual or straight,Men only,only attracted to males
63922,,,
59097,Heterosexual or straight,Women only,only attracted to females
72912,,,
91484,Heterosexual or straight,Men only,only attracted to males
24833,Heterosexual or straight,Men only,only attracted to males
21971,,,
13928,,,
84502,Heterosexual or straight,I have not had sex,only attracted to males
64090,,,
52123,Heterosexual or straight,Men only,only attracted to males
78783,Heterosexual or straight,Women only,only attracted to females
25197,Heterosexual or straight,I have not had sex,mostly attracted to females
35872,Heterosexual or straight,,only attracted to females
23270,Heterosexual or straight,Men only,only attracted to males
69807,,,
92716,Heterosexual or straight,Women only,only attracted to females
66061,,,
56058,,,
57854,,,
68679,,,
90750,,,
70125,Heterosexual or straight,Men only,only attracted to males
67192,Heterosexual or straight,Men only,only attracted to males
12029,Heterosexual or straight,Women only,only attracted to males
70745,Heterosexual or straight,Men only,mostly attracted to males
93856,Heterosexual or straight,I have not had sex,only attracted to males
10237,Heterosexual or straight,Both men and women,mostly attracted to males
97448,Gay or lesbian,Men only,only attracted to males
89165,Heterosexual or straight,Men only,mostly attracted to males
97280,Heterosexual or straight,Women only,only attracted to females
54098,,,
66156,Heterosexual or straight,Men only,mostly attracted to males
67177,Heterosexual or straight,Men only,only attracted to males
22540,Bisexual,I have not had sex,mostly attracted to males
15586,,,
18611,,,
87328,Heterosexual or straight,I have not had sex,only attracted to females
88963,,,
57045,,,
49497,Heterosexual or straight,Men only,only attracted to males
15031,,,
79607,,,
41952,Heterosexual or straight,Men only,only attracted to males
17183,Gay or lesbian,I have not had sex,only attracted to males
22408,Heterosexual or straight,I have not had sex,only attracted to females
54435,Heterosexual or straight,Men only,only attracted to males
38554,Heterosexual or straight,Men only,only attracted to males
38293,Heterosexual or straight,Men only,only attracted to males
33785,Gay or lesbian,Men only,only attracted to males
44310,,,
33009,Heterosexual or straight,Men only,only attracted to males
31294,,,
65143,,,
91726,Heterosexual or straight,I have not had sex,only attracted to females
59355,Heterosexual or straight,Men only,mostly attracted to males
96184,Heterosexual or straight,Men only,only attracted to males
92339,,,
70005,Heterosexual or straight,I have not had sex,only attracted to females
64157,Heterosexual or straight,Men only,only attracted to males
68050,Heterosexual or straight,Men only,only attracted to males
46151,,,
79395,Heterosexual or straight,Women only,only attracted to females
59863,Heterosexual or straight,Women only,only attracted to females
63419,Heterosexual or straight,Men only,only attracted to males
22913,Heterosexual or straight,Women only,only attracted to females
91313,Heterosexual or straight,I have not had sex,only attracted to females
14511,Heterosexual or straight,Men only,only attracted to males
73962,Heterosexual or straight,Men only,only attracted to males
48969,Heterosexual or straight,Men only,only attracted to males
22093,,,
32919,,,
79731,Heterosexual or straight,I have not had sex,mostly attracted to males
64296,Heterosexual or straight,I have not had sex,only attracted to females
23487,,,
17569,Heterosexual or straight,I have not had sex,only attracted to females
77036,Heterosexual or straight,I have not had sex,only attracted to males
53518,Heterosexual or straight,Women only,only attracted to females
92340,,,
37485,,,
33953,Heterosexual or straight,Men only,only attracted to males
53333,,,
82986,Heterosexual or straight,I have not had sex,only attracted to males
61772,,,
47280,,,
70566,Heterosexual or straight,Men only,only attracted to males
82964,,,
11402,Heterosexual or straight,Women only,only attracted to females
38610,Heterosexual or straight,Men only,only attracted to males
96610,Heterosexual or straight,I have not had sex,only attracted to males
77711,Heterosexual or straight,I have not had sex,mostly attracted to females
78667,,,
17020,Heterosexual or straight,Women only,only attracted to females
48676,Heterosexual or straight,Men only,only attracted to males
29885,Heterosexual or straight,Women only,only attracted to females
79167,Heterosexual or straight,Men only,only attracted to males
65061,,,
43710,Heterosexual or straight,Men only,only attracted to males
22455,Heterosexual or straight,Men only,only attracted to males
82819,,,
67771,,,
57443,Heterosexual or straight,Men only,only attracted to males
96469,Heterosexual or straight,I have not had sex,only attracted to males
94579,Heterosexual or straight,Men only,only attracted to males
29257,Heterosexual or straight,Women only,only attracted to females
23518,Heterosexual or straight,I have not had sex,only attracted to males
80484,,,
49539,Heterosexual or straight,Women only,only attracted to females
63904,Heterosexual or straight,I have not had sex,only attracted to males
82490,Heterosexual or straight,I have not had sex,only attracted to females
20335,Heterosexual or straight,Women only,only attracted to females
35031,Heterosexual or straight,Men only,only attracted to males
88185,Heterosexual or straight,I have not had sex,only attracted to males
35344,Heterosexual or straight,Men only,only attracted to males
31175,Heterosexual or straight,Men only,only attracted to males
41167,,,
98325,Heterosexual or straight,Men only,only attracted to males
36963,,,
50666,Heterosexual or straight,I have not had sex,only attracted to males
98624,,,
42617,Heterosexual or straight,Men only,only attracted to males
58793,Heterosexual or straight,Men only,mostly attracted to males
25125,Heterosexual or straight,Men only,mostly attracted to males
25548,Bisexual,Men only,mostly attracted to females
25966,,,
96689,Heterosexual or straight,I have not had sex,only attracted to males
43581,,,
75578,,,
43507,,,
91551,,,
19030,,,
33657,Heterosexual or straight,I have not had sex,only attracted to males
76521,,,
52848,,,
40231,,,
65656,,,
36117,Heterosexual or straight,Women only,only attracted to females
82587,Heterosexual or straight,Men only,only attracted to males
14690,,,
40569,,,
26320,,,
77532,Heterosexual or straight,I have not had sex,only attracted to males
92515,Heterosexual or straight,Women only,only attracted to females
97844,Heterosexual or straight,Women only,only attracted to females
33127,,,
45958,,,
49790,Heterosexual or straight,I have not had sex,only attracted to males
74251,,,
28326,,,
20507,,,
71592,,,
15181,Heterosexual or straight,Women only,only attracted to females
70209,,,
78657,Heterosexual or straight,Women only,only attracted to females
21887,Heterosexual or straight,Women only,only attracted to females
48154,Heterosexual or straight,Men only,only attracted to males
92953,,,
90192,,,
51495,Heterosexual or straight,I have not had sex,only attracted to females
34344,,,
21793,Heterosexual or straight,Women only,only attracted to females
37218,Heterosexual or straight,I have not had sex,only attracted to females
17932,Heterosexual or straight,I have not had sex,only attracted to females
95026,,,
66800,,,
73693,,,
80429,Heterosexual or straight,I have not had sex,mostly attracted to females
75149,Heterosexual or straight,I have not had sex,only attracted to males
61659,,,
81420,Heterosexual or straight,Women only,only attracted to females
33740,Heterosexual or straight,Men only,only attracted to males
67709,Gay or lesbian,I have not had sex,mostly attracted to males
36552,Heterosexual or straight,I have not had sex,only attracted to males
14301,Heterosexual or straight,I have not had sex,only attracted to males
63138,Heterosexual or straight,Men only,only attracted to males
51298,Heterosexual or straight,Women only,only attracted to females
74632,Heterosexual or straight,Men only,only attracted to males
16654,Heterosexual or straight,Women only,only attracted to females
54394,,,
84768,Heterosexual or straight,Men only,only attracted to males
29134,Heterosexual or straight,Men only,mostly attracted to males
24029,Heterosexual or straight,I have not had sex,only attracted to females
35361,Heterosexual or straight,Women only,only attracted to females
49086,Heterosexual or straight,Men only,only attracted to males
67917,,,
85503,Heterosexual or straight,Women only,only attracted to females
60008,,,
55881,,,
22119,,,
39285,,,
22460,,,
25172,Heterosexual or straight,Men only,only attracted to males
77134,,,
22143,,,
93766,,,
45097,,,
26289,,,
95490,Heterosexual or straight,Men only,only attracted to males
66979,,,
23253,Heterosexual or straight,Men only,only attracted to males
90079,Heterosexual or straight,Men only,only attracted to males
47584,Heterosexual or straight,Women only,only attracted to females
97990,Heterosexual or straight,I have not had sex,not sure
39248,,,
29354,,,
91429,,,
82269,Heterosexual or straight,Men only,mostly attracted to males
22842,Heterosexual or straight,Women only,mostly attracted to females
31311,,,
33084,,,
14279,Heterosexual or straight,Men only,only attracted to males
91932,,,
32404,,,
73577,Heterosexual or straight,I have not had sex,only attracted to males
43177,Heterosexual or straight,Women only,only attracted to females
36501,,,
26857,Heterosexual or straight,Women only,only attracted to females
28327,Bisexual,I have not had sex,mostly attracted to males
42674,,,
79897,,,
64978,,,
52302,Heterosexual or straight,Women only,only attracted to females
97050,Heterosexual or straight,Men only,only attracted to males
46418,Heterosexual or straight,Women only,only attracted to females
86691,,,
93002,Heterosexual or straight,Men only,only attracted to males
56543,Heterosexual or straight,Men only,only attracted to males
92618,,,
17470,Heterosexual or straight,I have not had sex,only attracted to females
74211,,,
35180,Heterosexual or straight,I have not had sex,only attracted to males
89142,Heterosexual or straight,Women only,only attracted to females
24898,Heterosexual or straight,Women only,only attracted to females
74413,Heterosexual or straight,I have not had sex,only attracted to females
38824,,,
51723,,,
79352,,,
30814,,,
90502,,,
94456,,,
70661,,,
50976,Gay or lesbian,Men only,mostly attracted to males
55533,,,
12156,,,
76485,Heterosexual or straight,Women only,only attracted to females
33239,Heterosexual or straight,Women only,only attracted to females
72570,,,
67574,Heterosexual or straight,Women only,only attracted to females
42231,,,
84960,,,
31033,,,
10469,Heterosexual or straight,Men only,only attracted to males
77789,Heterosexual or straight,I have not had sex,mostly attracted to males
47024,,,
88582,Heterosexual or straight,I have not had sex,only attracted to males
83470,,,
67015,Heterosexual or straight,Men only,only attracted to males
26272,Heterosexual or straight,Men only,only attracted to males
21909,,,
88882,Heterosexual or straight,Women only,only attracted to females
31985,,,
91337,,,
87664,,,
19245,Heterosexual or straight,Women only,only attracted to females
83748,Gay or lesbian,Women only,not sure
49915,Heterosexual or straight,Women only,only attracted to females
51865,,,
78407,Heterosexual or straight,I have not had sex,only attracted to males
93787,Heterosexual or straight,I have not had sex,only attracted to males
52621,,,
38914,,,
19833,,,
40864,Heterosexual or straight,I have not had sex,not sure
18707,,,
26718,,,
63347,Gay or lesbian,I have not had sex,only attracted to males
35824,,,
48826,Heterosexual or straight,Women only,only attracted to females
93246,,,
75341,,,
35925,Heterosexual or straight,Women only,only attracted to females
